class	test	status	bucket	notes
CalcitePPLEnhancedCoalesceIT	testCoalesceWithMultipleNonExistentFields	⚪	-	passes
CalcitePPLEnhancedCoalesceIT	testCoalesceWithNonExistentField	⚪	-	passes in sandbox/qa
CalcitePPLEnhancedCoalesceIT	testCoalesceWithNullLiteralAndIntegerField	⚪	-	passes
CalcitePPLEnhancedCoalesceIT	testCoalesceWithSpaceString	⚪	-	passes
CalcitePPLEvalMaxMinFunctionIT	testEvalMaxIgnoresNulls	🔴	F	max()->undefined
CalcitePPLEvalMaxMinFunctionIT	testEvalMaxNumeric	🔴	F	max()->undefined type
CalcitePPLEvalMaxMinFunctionIT	testEvalMaxNumericAndString	🔴	F	GREATEST infer 500
CalcitePPLEvalMaxMinFunctionIT	testEvalMaxString	🔴	F	max()->undefined
CalcitePPLEvalMaxMinFunctionIT	testEvalMinIgnoresNulls	🔴	F	min()->undefined
CalcitePPLEvalMaxMinFunctionIT	testEvalMinNumeric	🔴	F	min()->undefined
CalcitePPLEvalMaxMinFunctionIT	testEvalMinNumericAndString	🔴	F	LEAST infer 500
CalcitePPLEvalMaxMinFunctionIT	testEvalMinString	🔴	F	min()->undefined
CalcitePPLEventstatsIT	testEventstatsDistinctCount	⚪	-	passes
CalcitePPLEventstatsIT	testEventstatsDistinctCountByCountry	⚪	-	passes
CalcitePPLEventstatsIT	testEventstatsDistinctCountFunction	⚪	-	passes
CalcitePPLEventstatsIT	testEventstatsDistinctCountWithNull	⚪	-	passes
CalcitePPLExistsSubqueryIT	testExistsSubqueryAndAggregation	⬜		
CalcitePPLExistsSubqueryIT	testIssue3566	⬜		
CalcitePPLExistsSubqueryIT	testNestedExistsSubquery	⬜		
CalcitePPLExistsSubqueryIT	testSimpleExistsSubquery	⬜		
CalcitePPLExistsSubqueryIT	testSimpleExistsSubqueryInFilter	⬜		
CalcitePPLExistsSubqueryIT	testSubsearchMaxOut1	⬜		
CalcitePPLExistsSubqueryIT	testSubsearchMaxOut2	⬜		
CalcitePPLExistsSubqueryIT	testSubsearchMaxOut3	⬜		
CalcitePPLExistsSubqueryIT	testSubsearchMaxOut4	⬜		
CalcitePPLExistsSubqueryIT	testSubsearchMaxOutNegativeMeansUnlimited	⬜		
CalcitePPLExistsSubqueryIT	testSubsearchMaxOutUncorrelated	⬜		
CalcitePPLExistsSubqueryIT	testUncorrelatedExistsSubquery	⬜		
CalcitePPLExistsSubqueryIT	testUncorrelatedExistsSubqueryCheckTheReturnContentOfInnerTableIsEmptyOrNot	⬜		
CalcitePPLExistsSubqueryIT	testUncorrelatedSubsearchMaxOutZeroMeansUnlimited	⬜		
CalcitePPLInSubqueryIT	testEmptyInSubquery	⬜		
CalcitePPLInSubqueryIT	testFilterInSubquery	⚪	-	passes
CalcitePPLInSubqueryIT	testInCorrelatedSubquery	🔴	T	correlated ->1 of 3
CalcitePPLInSubqueryIT	testInSubqueryWithParentheses	⬜		
CalcitePPLInSubqueryIT	testInSubqueryWithTableAlias	🔴	T	alias subquery ->0 rows
CalcitePPLInSubqueryIT	testNestedInSubquery	⬜		
CalcitePPLInSubqueryIT	testNestedInSubquery2	⬜		
CalcitePPLInSubqueryIT	testSelfInSubquery	⬜		
CalcitePPLInSubqueryIT	testSubsearchMaxOut	⬜		
CalcitePPLInSubqueryIT	testSubsearchMaxOutZeroMeansUnlimited	⬜		
CalcitePPLInSubqueryIT	testTwoExpressionsInSubquery	⚪	-	passes
CalcitePPLInSubqueryIT	testTwoExpressionsNotInSubquery	⬜		
CalcitePPLInSubqueryIT	testWhereInSubquery	⚪	-	passes
CalcitePPLJsonBuiltinFunctionIT	testJson	🔴	W	json() ->500
CalcitePPLJsonBuiltinFunctionIT	testJsonAppend	🔴	W	json_append ->500
CalcitePPLJsonBuiltinFunctionIT	testJsonDeleteWithDollarPrefixedPath	🔴	W	json_delete $. no-op
CalcitePPLJsonBuiltinFunctionIT	testJsonExtend	🔴	W	json_extend ->500
CalcitePPLJsonBuiltinFunctionIT	testJsonSetWithDollarPrefixedPath	🔴	W	json_set $. no-op
CalcitePPLMapPathIT	testMvcombineOnMapPath	⬜		
CalcitePPLPatternsIT	testBrainLabelMode_ShowNumberedToken	⬜		
CalcitePPLPatternsIT	testBrainParseWithUUID_ShowNumberedToken	⬜		
CalcitePPLRenameIT	testRenameFullWildcardExcludesMetadataFields	🔴	A	alphabetical cols after rename
CalcitePPLScalarSubqueryIT	testCorrelatedScalarSubqueryInFilter	⬜		
CalcitePPLScalarSubqueryIT	testCorrelatedScalarSubqueryInSelect	⬜		
CalcitePPLScalarSubqueryIT	testCorrelatedScalarSubqueryInSelectWithNonEqual	⬜		
CalcitePPLScalarSubqueryIT	testCorrelatedScalarSubqueryInWhere	⬜		
CalcitePPLScalarSubqueryIT	testDisjunctiveCorrelatedScalarSubquery	⬜		
CalcitePPLScalarSubqueryIT	testSubsearchMaxOutZeroMeansUnlimited	⬜		
CalcitePPLScalarSubqueryIT	testTwoCorrelatedScalarSubqueriesInOr	⬜		
CalcitePPLScalarSubqueryIT	testTwoUncorrelatedScalarSubqueriesInOr	⬜		
CalcitePPLScalarSubqueryIT	testUncorrelatedScalarSubqueryInSelect	⬜		
CalcitePPLScalarSubqueryIT	testUncorrelatedScalarSubqueryInSelectAndInFilter	⬜		
CalcitePPLScalarSubqueryIT	testUncorrelatedScalarSubqueryInSelectAndWhere	⬜		
CalcitePPLSortIT	testSortAgeAndFieldsNameAge	🔴	P	tie-break Elinor<Hattie
CalcitePPLSortIT	testSortWithAutoCast	🔴	P	tie-break order
CalcitePPLSortIT	testSortWithNullValue	⚪	-	passes in sandbox/qa
CalcitePPLStringBuiltinFunctionIT	testRTrim	⚪	-	passes in sandbox/qa
CalcitePPLStringBuiltinFunctionIT	testTrim	⚪	-	passes in sandbox/qa
CalciteQueryStringIT	wildcard_test	⬜		
CalciteResourceMonitorIT	queryExceedResourceLimitShouldFail	⬜		
CalciteReverseCommandIT	testStreamstatsByWithReverse	⬜		
CalciteReverseCommandIT	testStreamstatsWindowWithReverse	⬜		
CalciteReverseCommandIT	testStreamstatsWithReverse	⬜		
CalciteReverseCommandIT	testStreamstatsWithSortThenReverse	⬜		
CalciteRexCommandIT	testRexErrorInvalidGroupNameHyphen	🔴	H	500+no suggestion
CalciteRexCommandIT	testRexErrorInvalidGroupNameSpecialCharacter	🔴	H	500+no suggestion
CalciteRexCommandIT	testRexErrorInvalidGroupNameStartingWithDigit	🔴	H	500+no suggestion
CalciteRexCommandIT	testRexErrorInvalidGroupNameUnderscore	🔴	H	500+no suggestion
CalciteSettingsIT	testQuerySizeLimit	🔴	D	implicit search age>35 ->0 rows
CalciteSettingsIT	testQuerySizeLimit_NoPushdown	⬜		
CalciteSimpleQueryStringIT	test_wildcard_simple_query_string	⬜		
CalciteSortCommandIT	testHeadThenSort	⬜		
CalciteSortCommandIT	testPushdownSortCastToDoubleExpression	⬜		
CalciteStatsCommandIT	testStatsBySpanTimeWithNullBucket	⬜	Q?	needs time_date_null ds - deferred
CalciteStatsCommandIT	testStatsPercentileByNullValue	🔴	Q	double+null bucket
CalciteStatsCommandIT	testStatsPercentileByNullValueNonNullBucket	🔴	Q	null vs 0 bucket
CalciteStatsCommandIT	testStatsPercentileBySpan	🔴	Q	interp double
CalciteStatsCommandIT	testStatsPercentileWithNull	🔴	Q	interp double 35413
CalciteStatsCommandIT	testStatsWithLimit	⚪	-	passes (numOfRows=5)
CalciteSystemFunctionIT	typeof_opensearch_types	⚪	-	numeric typeof passes (nonnumeric needs geo_point=bucket E)
CalciteTextFunctionIT	testConcat	⬜		
CalciteTextFunctionIT	testRegexp	⬜		
CalciteUnionCommandIT	testUnionMidPipeline_SingleExplicitDataset	⬜		
CalciteUnionCommandIT	testUnionThreeSubsearches	⬜		
CalciteWhereCommandIT	testDoubleEqualWithSpecialCharacters	⬜		
CalciteWhereCommandIT	testFilterOnComputedNestedFields	⬜		
CalciteWhereCommandIT	testFilterOnNestedAndRootFields	⬜		
CalciteWhereCommandIT	testFilterOnNestedFields	🔴	Y	nested object eq ->0 rows
CalciteWhereCommandIT	testFilterScriptPushDownWithPPLBuiltInFunction	⬜		
CalciteWhereCommandIT	testScriptFilterOnDifferentNestedHierarchyShouldThrow	⬜		
ppl.dashboard.NfwPplDashboardIT	testTopBlockedDestinationIPs	⬜		
ppl.dashboard.NfwPplDashboardIT	testTopLongLivedTCPFlows	⬜		
ppl.dashboard.NfwPplDashboardIT	testTopSourceAndDestinationByBytes	⬜		
ppl.dashboard.NfwPplDashboardIT	testTopSourceAndDestinationPackets	⬜		
ppl.dashboard.WafPplDashboardIT	testTopRequestURIs	⬜		
ppl.dashboard.WafPplDashboardIT	testTotalBlockedRequests	⬜		
ppl.FieldsCommandIT	testEnhancedFieldsWhenCalciteDisabled	⬜		
